Name,Team,Position,Age,Height,Height_i,Weight,College,Salary
Juhann Begarin,Boston Celtics,SG,19,"6' 5""",6.5,185,nan,nan
Jaylen Brown,Boston Celtics,SG,24,"6' 6""",6.6,223,California,26758928
Kris Dunn,Boston Celtics,PG,27,"6' 3""",6.3,205,Providence,5005350
Carsen Edwards,Boston Celtics,PG,23,"5' 11""",5.11,200,Purdue,1782621
Tacko Fall,Boston Celtics,C,25,"7' 5""",7.5,311,UCF,nan
Bruno Fernando,Boston Celtics,F,23,"6' 9""",6.9,240,Maryland,1782621
Al Horford,Boston Celtics,C,35,"6' 9""",6.9,240,Florida,27000000
Enes Kanter,Boston Celtics,C,29,"6' 10""",6.1,250,Kentucky,1669178
Luke Kornet,Boston Celtics,C,26,"7' 2""",7.2,250,Vanderbilt,nan
Romeo Langford,Boston Celtics,SG,21,"6' 4""",6.4,216,Indiana,3804360
Aaron Nesmith,Boston Celtics,SF,21,"6' 5""",6.5,215,Vanderbilt,3631200
Jabari Parker,Boston Celtics,PF,26,"6' 8""",6.8,245,Duke,2283034
Payton Pritchard,Boston Celtics,PG,23,"6' 1""",6.1,195,Oregon,2137440
Josh Richardson,Boston Celtics,SG,27,"6' 5""",6.5,200,Tennessee,11615328
Dennis Schroder,Boston Celtics,PG,27,"6' 3""",6.3,172,nan,5890000
Marcus Smart,Boston Celtics,PG,27,"6' 3""",6.3,220,Oklahoma State,14339285
Jayson Tatum,Boston Celtics,SF,23,"6' 8""",6.8,210,Duke,28103500
Grant Williams,Boston Celtics,PF,22,"6' 6""",6.6,236,Tennessee,2617800
Robert Williams III,Boston Celtics,C,23,"6' 8""",6.8,237,Texas A&M,3661976
LaMarcus Aldridge,Brooklyn Nets,F,36,"6' 11""",6.11,250,Texas,nan
DeAndre' Bembry,Brooklyn Nets,SG,27,"6' 5""",6.5,210,Saint Joseph's,1669178
Bruce Brown,Brooklyn Nets,SF,25,"6' 4""",6.4,202,Miami (FL),4736102
Jevon Carter,Brooklyn Nets,PG,25,"6' 1""",6.1,200,West Virginia,3650000
Nicolas Claxton,Brooklyn Nets,PF,22,"6' 11""",6.11,215,Georgia,1782621
Sekou Doumbouya,Brooklyn Nets,SF,20,"6' 8""",6.8,230,nan,3613680
Kevin Durant,Brooklyn Nets,PF,32,"6' 10""",6.1,240,Texas,42018900
Kessler Edwards,Brooklyn Nets,SF,21,"6' 8""",6.8,215,Pepperdine,nan
RaiQuan Gray,Brooklyn Nets,PF,22,"6' 8""",6.8,260,Florida State,nan
Blake Griffin,Brooklyn Nets,PF,32,"6' 9""",6.9,250,Oklahoma,1669178
James Harden,Brooklyn Nets,SG,32,"6' 5""",6.5,220,Arizona State,44310840
Joe Harris,Brooklyn Nets,SF,30,"6' 6""",6.6,220,Virginia,17357143
Kyrie Irving,Brooklyn Nets,PG,29,"6' 2""",6.2,195,Duke,35328700
Mike James,Brooklyn Nets,PG,31,"6' 1""",6.1,175,Eastern Arizona Coll. (J.C.),nan
Alize Johnson,Brooklyn Nets,PF,25,"6' 7""",6.7,212,Missouri State,1762796
James Johnson,Brooklyn Nets,PF,34,"6' 7""",6.7,240,Wake Forest,1669178
Tyler Johnson,Brooklyn Nets,SG,29,"6' 3""",6.3,186,Fresno State,nan
Timothe Luwawu-Cabarrot,Brooklyn Nets,SG,26,"6' 7""",6.7,220,nan,nan
Patty Mills,Brooklyn Nets,PG,33,"6' 1""",6.1,180,Saint Mary's,5890000
Paul Millsap,Brooklyn Nets,PF,36,"6' 7""",6.7,257,Louisiana Tech,nan
Jahlil Okafor,Brooklyn Nets,C,25,"6' 10""",6.1,270,Duke,2130023
Reggie Perry,Brooklyn Nets,PF,21,"6' 8""",6.8,250,Mississippi State,nan
Day'Ron Sharpe,Brooklyn Nets,C,19,"6' 11""",6.11,265,North Carolina,2009040
Cameron Thomas,Brooklyn Nets,SG,19,"6' 4""",6.4,210,LSU,2036280
Marcus Zegarowski,Brooklyn Nets,PG,23,"6' 2""",6.2,181,Creighton,nan
Dwayne Bacon,New York Knicks,SG,26,"6' 6""",6.6,221,Florida State,1824003
RJ Barrett,New York Knicks,SG,21,"6' 6""",6.6,214,Duke,8623920
Alec Burks,New York Knicks,SG,30,"6' 6""",6.6,214,Colorado,9536000
Evan Fournier,New York Knicks,G,28,"6' 7""",6.7,205,nan,17000000
Taj Gibson,New York Knicks,C,36,"6' 9""",6.9,232,USC,4910000
Quentin Grimes,New York Knicks,SG,21,"6' 5""",6.5,205,Houston,2168760
Jared Harper,New York Knicks,PG,23,"5' 10""",5.1,175,Auburn,nan
Kevin Knox II,New York Knicks,SF,22,"6' 7""",6.7,215,Kentucky,5845979
Miles McBride,New York Knicks,PG,20,"6' 2""",6.2,200,West Virginia,925258
Nerlens Noel,New York Knicks,C,27,"6' 11""",6.11,220,Kentucky,8000000
Frank Ntilikina,New York Knicks,PG,23,"6' 4""",6.4,200,nan,nan
Norvel Pelle,New York Knicks,PF,28,"6' 10""",6.1,231,St. John's,nan
Theo Pinson,New York Knicks,SG,25,"6' 5""",6.5,212,North Carolina,nan
Immanuel Quickley,New York Knicks,SG,22,"6' 3""",6.3,190,Kentucky,2210640
Julius Randle,New York Knicks,PF,26,"6' 8""",6.8,250,Kentucky,21780000
Mitchell Robinson,New York Knicks,C,23,"7' 0""",7.0,240,nan,1802057
Derrick Rose,New York Knicks,PG,32,"6' 2""",6.2,200,Memphis,13445120
Jericho Sims,New York Knicks,PF,22,"6' 10""",6.1,245,Texas,nan
Obi Toppin,New York Knicks,PF,23,"6' 9""",6.9,220,Dayton,5105160
Luca Vildoza,New York Knicks,PG,26,"6' 3""",6.3,190,nan,3325000
Kemba Walker,New York Knicks,PG,31,"6' 0""",6.0,184,Connecticut,36016200
Charles Bassey,Philadelphia Sixers,C,20,"6' 11""",6.11,235,Western Kentucky,nan
Gary Clark,Philadelphia Sixers,SF,26,"6' 6""",6.6,225,Cincinnati,nan
Seth Curry,Philadelphia Sixers,SG,31,"6' 2""",6.2,185,Duke,8207518
Andre Drummond,Philadelphia Sixers,C,28,"6' 10""",6.1,279,Connecticut,1669178
Joel Embiid,Philadelphia Sixers,C,27,"7' 0""",7.0,280,Kansas,31579390
Danny Green,Philadelphia Sixers,SF,34,"6' 6""",6.6,215,North Carolina,10000000
Tobias Harris,Philadelphia Sixers,PF,29,"6' 8""",6.8,226,Tennessee,35995950
Aaron Henry,Philadelphia Sixers,F,22,"6' 6""",6.6,210,Michigan State,nan
Isaiah Joe,Philadelphia Sixers,SG,22,"6' 4""",6.4,165,Arkansas,1517981
Furkan Korkmaz,Philadelphia Sixers,SG,24,"6' 7""",6.7,202,nan,4629630
Tyrese Maxey,Philadelphia Sixers,PG,20,"6' 2""",6.2,200,Kentucky,2602920
Shake Milton,Philadelphia Sixers,SG,24,"6' 5""",6.5,205,SMU,1846738
Georges Niang,Philadelphia Sixers,F,28,"6' 7""",6.7,230,Iowa State,3300000
Filip Petrusev,Philadelphia Sixers,PF,21,"6' 11""",6.11,235,Gonzaga,nan
Paul Reed,Philadelphia Sixers,SF,22,"6' 9""",6.9,210,DePaul,1517981
Grant Riller,Philadelphia Sixers,G,24,"6' 2""",6.2,190,Charleston,nan
Mike Scott,Philadelphia Sixers,PF,33,"6' 7""",6.7,237,Virginia,nan
Ben Simmons,Philadelphia Sixers,PG,25,"6' 11""",6.11,240,LSU,33003936
Jaden Springer,Philadelphia Sixers,PG,18,"6' 4""",6.4,204,Tennessee,2023800
Matisse Thybulle,Philadelphia Sixers,SG,24,"6' 5""",6.5,201,Washington,2840160
Precious Achiuwa,Toronto Raptors,F,21,"6' 8""",6.8,225,Memphis,2711280
OG Anunoby,Toronto Raptors,SF,24,"6' 7""",6.7,232,Indiana,16071429
Dalano Banton,Toronto Raptors,PG,21,"6' 9""",6.9,204,Nebraska,925258
Scottie Barnes,Toronto Raptors,SF,20,"6' 9""",6.9,227,Florida State,7280520
Khem Birch,Toronto Raptors,C,28,"6' 9""",6.9,233,UNLV,6350000
Isaac Bonga,Toronto Raptors,G,21,"6' 8""",6.8,180,nan,1669178
Chris Boucher,Toronto Raptors,PF,28,"6' 9""",6.9,200,New Mexico JC,7020000
Sam Dekker,Toronto Raptors,F,27,"6' 9""",6.9,219,Wisconsin,1669178
Goran Dragic,Toronto Raptors,PG,35,"6' 3""",6.3,190,nan,19440000
Malachi Flynn,Toronto Raptors,PG,23,"6' 1""",6.1,175,San Diego State,2048040
Freddie Gillespie,Toronto Raptors,SF,24,"6' 9""",6.9,245,Baylor,1517981
David Johnson,Toronto Raptors,PG,20,"6' 5""",6.5,210,Louisville,nan
Stanley Johnson,Toronto Raptors,SF,25,"6' 6""",6.6,242,Arizona,nan
Pascal Siakam,Toronto Raptors,PG,27,"6' 9""",6.9,230,New Mexico State,33003936
Gary Trent Jr.,Toronto Raptors,SG,22,"6' 5""",6.5,209,Duke,16000000
Fred VanVleet,Toronto Raptors,SG,27,"6' 1""",6.1,197,Wichita State,19675926
Yuta Watanabe,Toronto Raptors,SF,26,"6' 9""",6.9,215,George Washington,1762796
Ryan Arcidiacono,Chicago Bulls,PG,27,"6' 3""",6.3,195,Villanova,3000000
Lonzo Ball,Chicago Bulls,PG,23,"6' 6""",6.6,190,UCLA,18604651
Tony Bradley,Chicago Bulls,C,23,"6' 10""",6.1,248,North Carolina,1669178
Troy Brown Jr.,Chicago Bulls,SF,22,"6' 6""",6.6,215,Oregon,5170564
Alex Caruso,Chicago Bulls,SG,27,"6' 4""",6.4,186,Texas A&M,8650651
DeMar DeRozan,Chicago Bulls,SF,32,"6' 6""",6.6,220,USC,26000000
Ayo Dosunmu,Chicago Bulls,SG,21,"6' 5""",6.5,200,Illinois,925258
Devon Dotson,Chicago Bulls,PG,22,"6' 2""",6.2,185,Kansas,nan
Cristiano Felicio,Chicago Bulls,PF,29,"6' 11""",6.11,270,nan,nan
Javonte Green,Chicago Bulls,PG,28,"6' 4""",6.4,205,Radford,1669178
Derrick Jones Jr.,Chicago Bulls,SF,24,"6' 5""",6.5,210,UNLV,9720900
Zach LaVine,Chicago Bulls,SG,26,"6' 5""",6.5,200,UCLA,19500000
Adam Mokoka,Chicago Bulls,SG,23,"6' 4""",6.4,190,nan,nan
Denzel Valentine,Chicago Bulls,SG,27,"6' 4""",6.4,220,Michigan State,nan
Nikola Vucevic,Chicago Bulls,C,30,"6' 11""",6.11,260,USC,24000000
Coby White,Chicago Bulls,PG,21,"6' 5""",6.5,195,North Carolina,5837760
Patrick Williams,Chicago Bulls,PF,20,"6' 7""",6.7,215,Florida State,7422000
Jarrett Allen,Cleveland Cavaliers,C,23,"6' 11""",6.11,243,Texas,20000000
Damyean Dotson,Cleveland Cavaliers,SG,27,"6' 5""",6.5,210,Houston,2000000
Darius Garland,Cleveland Cavaliers,PG,21,"6' 1""",6.1,192,Vanderbilt,7040880
Mfiondu Kabengele,Cleveland Cavaliers,C,24,"6' 9""",6.9,250,Florida State,1701593
Kevin Love,Cleveland Cavaliers,PF,33,"6' 8""",6.8,251,UCLA,31258256
Lauri Markkanen,Cleveland Cavaliers,PF,24,"7' 0""",7.0,240,Arizona,15690909
Evan Mobley,Cleveland Cavaliers,C,20,"7' 0""",7.0,215,USC,8075160
Isaac Okoro,Cleveland Cavaliers,SF,20,"6' 5""",6.5,225,Auburn,6720720
Cedi Osman,Cleveland Cavaliers,SF,26,"6' 7""",6.7,230,nan,8133334
Ricky Rubio,Cleveland Cavaliers,G,30,"6' 3""",6.3,190,nan,17800000
Collin Sexton,Cleveland Cavaliers,PG,22,"6' 1""",6.1,190,Alabama,6439671
Lamar Stevens,Cleveland Cavaliers,F,24,"6' 6""",6.6,230,Penn State,1517981
Brodric Thomas,Cleveland Cavaliers,G,24,"6' 5""",6.5,185,Truman State,nan
Dean Wade,Cleveland Cavaliers,PF,24,"6' 9""",6.9,228,Kansas State,1782621
Dylan Windler,Cleveland Cavaliers,SG,24,"6' 6""",6.6,196,Belmont,2239200
Saddiq Bey,Detroit Pistons,SF,22,"6' 7""",6.7,215,Villanova,2824320
Cade Cunningham,Detroit Pistons,PG,19,"6' 7""",6.7,220,Oklahoma State,10050120
Hamidou Diallo,Detroit Pistons,SG,23,"6' 5""",6.5,202,Kentucky,5200000
Luka Garza,Detroit Pistons,C,22,"6' 10""",6.1,243,Iowa,nan
Jerami Grant,Detroit Pistons,SF,27,"6' 8""",6.8,210,Syracuse,20002500
Killian Hayes,Detroit Pistons,PG,20,"6' 5""",6.5,195,nan,5572680
Frank Jackson,Detroit Pistons,PG,23,"6' 3""",6.3,205,Duke,3000000
Josh Jackson,Detroit Pistons,SG,24,"6' 8""",6.8,207,Kansas,5005350
Cory Joseph,Detroit Pistons,PG,30,"6' 3""",6.3,200,Texas,12600000
Balsa Koprivica,Detroit Pistons,C,21,"7' 1""",7.1,240,Florida State,nan
Saben Lee,Detroit Pistons,PG,22,"6' 2""",6.2,183,Vanderbilt,1489065
Isaiah Livers,Detroit Pistons,PF,23,"6' 6""",6.6,232,Michigan,1057260
Trey Lyles,Detroit Pistons,PF,25,"6' 9""",6.9,234,Kentucky,2500000
Rodney McGruder,Detroit Pistons,SG,30,"6' 4""",6.4,205,Kansas State,1669178
Kelly Olynyk,Detroit Pistons,PF,30,"6' 11""",6.11,240,Gonzaga,12195122
Chris Smith,Detroit Pistons,F,21,"6' 8""",6.8,215,UCLA,nan
Dennis Smith Jr.,Detroit Pistons,PG,23,"6' 2""",6.2,205,North Carolina State,nan
Isaiah Stewart,Detroit Pistons,C,20,"6' 8""",6.8,250,Washington,3277080
Goga Bitadze,Indiana Pacers,C,22,"6' 11""",6.11,250,nan,3098400
Oshae Brissett,Indiana Pacers,SF,23,"6' 7""",6.7,210,Syracuse,1701593
Malcolm Brogdon,Indiana Pacers,PG,28,"6' 5""",6.5,229,Virginia,21700000
Torrey Craig,Indiana Pacers,SF,30,"6' 7""",6.7,221,USC Upstate,4878049
Chris Duarte,Indiana Pacers,SG,24,"6' 6""",6.6,190,Oregon,3749400
Justin Holiday,Indiana Pacers,SF,32,"6' 6""",6.6,180,Washington,6006420
Isaiah Jackson,Indiana Pacers,PF,19,"6' 10""",6.1,205,Kentucky,2451240
DeJon Jarreau,Indiana Pacers,F,23,"6' 5""",6.5,185,Houston,nan
Jeremy Lamb,Indiana Pacers,SG,29,"6' 5""",6.5,180,Connecticut,10500000
Caris LeVert,Indiana Pacers,SG,27,"6' 6""",6.6,205,Michigan,17500000
Kelan Martin,Indiana Pacers,SG,26,"6' 5""",6.5,230,Butler,1701593
T.J. McConnell,Indiana Pacers,PG,29,"6' 1""",6.1,190,Arizona,7500000
Domantas Saboni,Indiana Pacers,PF,25,"6' 11""",6.11,240,Gonzaga,19800000
JaKarr Sampson,Indiana Pacers,SF,28,"6' 7""",6.7,214,St. John's,nan
Cassius Stanley,Indiana Pacers,SG,22,"6' 5""",6.5,190,Duke,nan
Edmond Sumner,Indiana Pacers,PG,25,"6' 4""",6.4,196,Xavier,2320000
Myles Turner,Indiana Pacers,C,25,"6' 11""",6.11,250,Texas,18000000
T.J. Warren,Indiana Pacers,SF,28,"6' 8""",6.8,220,North Carolina State,12940000
Grayson Allen,Milwaukee Bucks,SG,25,"6' 4""",6.4,198,Duke,4054695
Giannis Antetokounmpo,Milwaukee Bucks,PF,26,"6' 11""",6.11,242,nan,39344970
Thanasis Antetokounmpo,Milwaukee Bucks,SF,29,"6' 6""",6.6,219,nan,1669178
Elijah Bryant,Milwaukee Bucks,SG,26,"6' 5""",6.5,210,BYU,1517981
Pat Connaughton,Milwaukee Bucks,SG,28,"6' 5""",6.5,209,Notre Dame,5333334
Donte DiVincenzo,Milwaukee Bucks,SG,24,"6' 4""",6.4,203,Villanova,4675830
Mamadi Diakite,Milwaukee Bucks,PF,24,"6' 9""",6.9,228,Virginia,1517981
George Hill,Milwaukee Bucks,G,35,"6' 4""",6.4,188,IUPUI,4000000
Jrue Holiday,Milwaukee Bucks,PG,31,"6' 3""",6.3,205,UCLA,32413333
Rodney Hood,Milwaukee Bucks,SG,28,"6' 8""",6.8,208,Duke,1669178
Justin Jackson,Milwaukee Bucks,SF,26,"6' 8""",6.8,220,North Carolina,nan
Rodions Kurucs,Milwaukee Bucks,SF,23,"6' 9""",6.9,228,nan,nan
Brook Lopez,Milwaukee Bucks,C,33,"7' 0""",7.0,282,Stanford,13302325
Sandro Mamukelashvili,Milwaukee Bucks,C,22,"6' 11""",6.11,240,Seton Hall,nan
Khris Middleton,Milwaukee Bucks,SF,30,"6' 7""",6.7,222,Texas A&M,35500000
Jordan Nwora,Milwaukee Bucks,SF,22,"6' 8""",6.8,225,Louisville,1517981
Semi Ojeleye,Milwaukee Bucks,PF,26,"6' 6""",6.6,240,SMU,1669178
Bobby Portis,Milwaukee Bucks,C,26,"6' 10""",6.1,250,Arkansas,nan
Jeff Teague,Milwaukee Bucks,PG,33,"6' 3""",6.3,195,Wake Forest,nan
Axel Toupane,Milwaukee Bucks,SG,29,"6' 7""",6.7,210,nan,nan
Bogdan Bogdanovic,Atlanta Hawks,SG,29,"6' 6""",6.6,220,nan,18000000
Clint Capela,Atlanta Hawks,C,27,"6' 10""",6.1,240,nan,18603448
John Collins,Atlanta Hawks,PF,23,"6' 9""",6.9,235,Wake Forest,23000000
Sharife Cooper,Atlanta Hawks,PG,20,"6' 1""",6.1,180,Auburn,nan
Gorgui Dieng,Atlanta Hawks,C,31,"6' 10""",6.1,252,Louisville,4000000
Danilo Gallinari,Atlanta Hawks,PF,33,"6' 10""",6.1,233,nan,20475000
Brandon Goodwin,Atlanta Hawks,PG,25,"6' 0""",6.0,180,Florida Gulf Coast,nan
Solomon Hill,Atlanta Hawks,SF,30,"6' 6""",6.6,226,Arizona,1669178
Kevin Huerter,Atlanta Hawks,SG,23,"6' 7""",6.7,190,Maryland,4253357
De'Andre Hunter,Atlanta Hawks,SF,23,"6' 8""",6.8,225,Virginia,7775400
Jalen Johnson,Atlanta Hawks,SF,19,"6' 9""",6.9,220,Duke,2659580
Skylar Mays,Atlanta Hawks,SG,24,"6' 4""",6.4,205,LSU,nan
Onyeka Okongwu,Atlanta Hawks,PF,20,"6' 8""",6.8,235,USC,6104280
Cam Reddish,Atlanta Hawks,SF,22,"6' 8""",6.8,218,Duke,4670160
Lou Williams,Atlanta Hawks,SG,34,"6' 1""",6.1,175,nan,5000000
Delon Wright,Atlanta Hawks,SG,29,"6' 5""",6.5,185,Utah,8526316
Trae Young,Atlanta Hawks,PG,22,"6' 1""",6.1,180,Oklahoma,8326471
LaMelo Ball,Charlotte Hornets,PG,20,"6' 6""",6.6,180,nan,8231760
Bismack Biyombo,Charlotte Hornets,C,29,"6' 8""",6.8,255,nan,nan
James Bouknight,Charlotte Hornets,SG,20,"6' 5""",6.5,190,Connecticut,4154400
Miles Bridges,Charlotte Hornets,SF,23,"6' 6""",6.6,225,Michigan State,5421493
Vernon Carey Jr.,Charlotte Hornets,C,20,"6' 9""",6.9,270,Duke,1517981
Nate Darling,Charlotte Hornets,SG,23,"6' 6""",6.6,200,Delaware,nan
Gordon Hayward,Charlotte Hornets,SF,31,"6' 7""",6.7,225,Butler,29925000
Wes Iwundu,Charlotte Hornets,SF,26,"6' 6""",6.6,195,Kansas State,1824003
Kai Jones,Charlotte Hornets,PF,20,"6' 11""",6.11,218,Texas,2770560
Scottie Lewis,Charlotte Hornets,SG,21,"6' 5""",6.5,189,Florida,nan
Caleb Martin,Charlotte Hornets,SF,25,"6' 5""",6.5,205,Nevada,nan
Cody Martin,Charlotte Hornets,SF,25,"6' 5""",6.5,205,Nevada,1782621
Jalen McDaniels,Charlotte Hornets,PF,23,"6' 9""",6.9,205,San Diego State,1782621
Kelly Oubre Jr.,Charlotte Hornets,SG,25,"6' 7""",6.7,203,Kansas,12000000
Mason Plumlee,Charlotte Hornets,C,31,"6' 11""",6.11,254,Duke,9248333
Nick Richards,Charlotte Hornets,C,23,"7' 0""",7.0,245,Kentucky,1517981
Terry Rozier,Charlotte Hornets,SG,27,"6' 1""",6.1,190,Louisville,17905263
Ish Smith,Charlotte Hornets,PG,33,"6' 0""",6.0,175,Wake Forest,4500000
JT Thor,Charlotte Hornets,PF,19,"6' 10""",6.1,205,Auburn,1250000
Brad Wanamaker,Charlotte Hornets,PG,32,"6' 3""",6.3,210,Pittsburgh,nan
P.J. Washington,Charlotte Hornets,PF,23,"6' 7""",6.7,230,Kentucky,4215120
Bam Adebayo,Miami Heat,C,24,"6' 9""",6.9,255,Kentucky,28103500
Jimmy Butler,Miami Heat,SF,31,"6' 7""",6.7,230,Marquette,36016200
Dewayne Dedmon,Miami Heat,C,32,"7' 0""",7.0,245,USC,1669178
Marcus Garrett,Miami Heat,G,22,"6' 5""",6.5,195,Kansas,nan
Udonis Haslem,Miami Heat,PF,41,"6' 8""",6.8,235,Florida,1669178
Tyler Herro,Miami Heat,PG,21,"6' 5""",6.5,195,Kentucky,4004280
Kyle Lowry,Miami Heat,PG,35,"6' 0""",6.0,196,Villanova,26894128
Markieff Morris,Miami Heat,PF,32,"6' 9""",6.9,245,Kansas,1669178
RJ Nembhard,Miami Heat,SG,22,"6' 5""",6.5,200,TCU,nan
KZ Okpala,Miami Heat,SF,22,"6' 8""",6.8,215,Stanford,1782621
Victor Oladipo,Miami Heat,SG,29,"6' 4""",6.4,213,Indiana,1669178
Duncan Robinson,Miami Heat,SG,27,"6' 7""",6.7,215,Michigan,15650000
D.J. Stewart Jr.,Miami Heat,G,22,"6' 6""",6.6,205,Mississippi State,nan
Max Strus,Miami Heat,SG,25,"6' 5""",6.5,215,DePaul,1669178
P.J. Tucker,Miami Heat,PF,36,"6' 5""",6.5,245,Texas,7000000
Gabe Vincent,Miami Heat,PG,25,"6' 3""",6.3,200,UC Santa Barbara,1669178
Omer Yurtseven,Miami Heat,C,23,"7' 0""",7.0,275,Georgetown,1489065
Cole Anthony,Orlando Magic,PG,21,"6' 2""",6.2,185,North Carolina,3449400
Mo Bamba,Orlando Magic,C,23,"7' 0""",7.0,231,Texas,7568743
Ignas Brazdeikis,Orlando Magic,SF,22,"6' 6""",6.6,221,Michigan,nan
Wendell Carter Jr.,Orlando Magic,C,22,"6' 10""",6.1,270,Duke,6920027
Michael Carter-Williams,Orlando Magic,PG,29,"6' 5""",6.5,190,Syracuse,3300000
Jeff Dowtin,Orlando Magic,G,24,"6' 3""",6.3,185,Rhode Island,nan
James Ennis III,Orlando Magic,SF,31,"6' 6""",6.6,215,Long Beach State,nan
Markelle Fultz,Orlando Magic,PG,23,"6' 3""",6.3,209,Washington,16500000
Hassani Gravett,Orlando Magic,G,25,"6' 2""",6.2,188,South Carolina,nan
R.J. Hampton,Orlando Magic,PG,20,"6' 4""",6.4,175,nan,2303040
Gary Harris,Orlando Magic,SG,26,"6' 4""",6.4,210,Michigan State,20482143
Jonathan Isaac,Orlando Magic,PF,23,"6' 11""",6.11,230,Florida State,17400000
Robin Lopez,Orlando Magic,C,33,"7' 0""",7.0,281,Stanford,5000000
Chuma Okeke,Orlando Magic,PF,23,"6' 6""",6.6,229,Auburn,3277080
Chasson Randle,Orlando Magic,PG,28,"6' 2""",6.2,185,Stanford,nan
Terrence Ross,Orlando Magic,SG,30,"6' 6""",6.6,206,Washington,12500000
Jalen Suggs,Orlando Magic,SG,20,"6' 4""",6.4,205,Gonzaga,6593040
Jon Teske,Orlando Magic,C,24,"7' 1""",7.1,265,Michigan,nan
Sindarius Thornwell,Orlando Magic,SG,26,"6' 4""",6.4,215,South Carolina,nan
Franz Wagner,Orlando Magic,SF,20,"6' 9""",6.9,220,Michigan,5007840
Moritz Wagner,Orlando Magic,C,24,"6' 11""",6.11,245,Michigan,1669178
Deni Avdija,Washington Wizards,SF,20,"6' 9""",6.9,210,nan,4692840
Bradley Beal,Washington Wizards,SG,28,"6' 3""",6.3,207,Florida,33724200
Davis Bertans,Washington Wizards,SF,28,"6' 10""",6.1,225,nan,16000000
Thomas Bryant,Washington Wizards,C,24,"6' 10""",6.1,248,Indiana,8666667
Kentavious Caldwell-Pope,Washington Wizards,SG,28,"6' 5""",6.5,204,Georgia,13038862
Spencer Dinwiddie,Washington Wizards,PG,28,"6' 5""",6.5,215,Colorado,17142857
Daniel Gafford,Washington Wizards,C,22,"6' 10""",6.1,234,Arkansas,1782621
Anthony Gill,Washington Wizards,PF,28,"6' 7""",6.7,230,Virginia,1517981
Rui Hachimura,Washington Wizards,PF,23,"6' 8""",6.8,230,Gonzaga,4916160
Montrezl Harrell,Washington Wizards,C,27,"6' 7""",6.7,240,Louisville,9720900
Aaron Holiday,Washington Wizards,PG,24,"6' 0""",6.0,185,UCLA,3980551
Caleb Homesley,Washington Wizards,SG,24,"6' 6""",6.6,205,Liberty,1517981
Corey Kispert,Washington Wizards,SF,22,"6' 7""",6.7,220,Gonzaga,3383640
Kyle Kuzma,Washington Wizards,SF,26,"6' 10""",6.1,221,Utah,13000000
Garrison Mathews,Washington Wizards,SG,24,"6' 5""",6.5,215,David Lipscomb University,nan
Raul Neto,Washington Wizards,PG,29,"6' 1""",6.1,180,nan,1669178
Isaiah Todd,Washington Wizards,PF,19,"6' 10""",6.1,210,nan,1500000
Cassius Winston,Washington Wizards,PG,23,"6' 1""",6.1,185,Michigan State,nan
