,Name,Team
0,precious achiuwa,Toronto Raptors
1,steven adams,Memphis Grizzlies
2,bam adebayo,Miami Heat
3,ochai agbaji,Utah Jazz
4,santi aldama,Memphis Grizzlies
5,nickeil alexander-walker,Minnesota Timberwolves
6,grayson allen,Milwaukee Bucks
7,jarrett allen,Cleveland Cavaliers
8,jose alvarado,New Orleans Pelicans
9,kyle anderson,Minnesota Timberwolves
10,giannis antetokounmpo,Milwaukee Bucks
11,thanasis antetokounmpo,Milwaukee Bucks
12,cole anthony,Orlando Magic
13,og anunoby,Toronto Raptors
14,ryan arcidiacono,Portland Trail Blazers
15,deni avdija,Washington Wizards
16,deandre ayton,Phoenix Suns
17,udoka azubuike,Utah Jazz
18,ibou badji,Portland Trail Blazers
19,marvin bagley iii,Detroit Pistons
20,"patrick baldwin, jr.",Golden State Warriors
21,lamelo ball,Charlotte Hornets
22,lonzo ball,Chicago Bulls
23,mohamed bamba,Los Angeles Lakers
24,paolo banchero,Orlando Magic
25,desmond bane,Memphis Grizzlies
26,dalano banton,Toronto Raptors
27,dominick barlow,San Antonio Spurs
28,harrison barnes,Sacramento Kings
29,scottie barnes,Toronto Raptors
30,r.j. barrett,New York Knicks
31,will barton,Toronto Raptors
32,charles bassey,San Antonio Spurs
33,keita bates-diop,San Antonio Spurs
34,nicolas batum,Los Angeles Clippers
35,darius bazley,Phoenix Suns
36,bradley beal,Washington Wizards
37,malik beasley,Los Angeles Lakers
38,marjon beauchamp,Milwaukee Bucks
39,davis bertans,Dallas Mavericks
40,patrick beverley,Chicago Bulls
41,saddiq bey,Atlanta Hawks
42,khem birch,San Antonio Spurs
43,goga bitadze,Orlando Magic
44,bismack biyombo,Phoenix Suns
45,buddy boeheim,Detroit Pistons
46,bogdan bogdanovic,Atlanta Hawks
47,bojan bogdanovic,Detroit Pistons
48,bol bol,Orlando Magic
49,devin booker,Phoenix Suns
50,"b.j. boston, jr.",Los Angeles Clippers
51,chris boucher,Toronto Raptors
52,james bouknight,Charlotte Hornets
53,jamaree bouyea,Washington Wizards
54,malaki branham,San Antonio Spurs
55,christian braun,Denver Nuggets
56,mikal bridges,Brooklyn Nets
57,oshae brissett,Indiana Pacers
58,malcolm brogdon,Boston Celtics
59,dillon brooks,Memphis Grizzlies
60,jaylen brown,Boston Celtics
61,"bruce brown, jr.",Denver Nuggets
62,"troy brown, jr.",Los Angeles Lakers
63,kendall brown,Indiana Pacers
64,jalen brunson,New York Knicks
65,thomas bryant,Denver Nuggets
66,reggie bullock,Dallas Mavericks
67,alec burks,Detroit Pistons
68,jared butler,Oklahoma City Thunder
69,jimmy butler,Miami Heat
70,john butler,Portland Trail Blazers
71,jamal cain,Miami Heat
72,kentavious caldwell-pope,Denver Nuggets
73,vlatko cancar,Denver Nuggets
74,clint capela,Atlanta Hawks
75,jevon carter,Milwaukee Bucks
76,"wendell carter, jr.",Orlando Magic
77,michael carter-williams,Orlando Magic
78,alex caruso,Chicago Bulls
79,willie cauley-stein,Houston Rockets
80,julian champagnie,San Antonio Spurs
81,kennedy chandler,Memphis Grizzlies
82,max christie,Los Angeles Lakers
83,josh christopher,Houston Rockets
84,brandon clarke,Memphis Grizzlies
85,jordan clarkson,Utah Jazz
86,nicolas claxton,Brooklyn Nets
87,amir coffey,Los Angeles Clippers
88,john collins,Atlanta Hawks
89,zach collins,San Antonio Spurs
90,mike conley,Minnesota Timberwolves
91,pat connaughton,Milwaukee Bucks
92,robert covington,Los Angeles Clippers
93,torrey craig,Phoenix Suns
94,jae crowder,Milwaukee Bucks
95,cade cunningham,Detroit Pistons
96,seth curry,Brooklyn Nets
97,stephen curry,Golden State Warriors
98,dyson daniels,New Orleans Pelicans
99,anthony davis,Los Angeles Lakers
100,johnny davis,Washington Wizards
101,terence davis,Sacramento Kings
102,j.d. davison,Boston Celtics
103,darius days,Houston Rockets
104,demar derozan,Chicago Bulls
105,dewayne dedmon,Philadelphia Sixers
106,matt dellavedova,Sacramento Kings
107,donte divincenzo,Golden State Warriors
108,moussa diabate,Los Angeles Clippers
109,mamadi diakite,Cleveland Cavaliers
110,hamidou diallo,Detroit Pistons
111,gorgui dieng,San Antonio Spurs
112,ousmane dieng,Oklahoma City Thunder
113,spencer dinwiddie,Brooklyn Nets
114,luka doncic,Dallas Mavericks
115,luguentz dort,Oklahoma City Thunder
116,ayo dosunmu,Chicago Bulls
117,jeff dowtin,Toronto Raptors
118,p.j. dozier,Sacramento Kings
119,goran dragic,Milwaukee Bucks
120,andre drummond,Chicago Bulls
121,chris duarte,Indiana Pacers
122,david duke,Brooklyn Nets
123,kris dunn,Utah Jazz
124,kevin durant,Phoenix Suns
125,jalen duren,Detroit Pistons
126,tari eason,Houston Rockets
127,anthony edwards,Minnesota Timberwolves
128,kessler edwards,Sacramento Kings
129,keon ellis,Sacramento Kings
130,joel embiid,Philadelphia Sixers
131,drew eubanks,Portland Trail Blazers
132,bruno fernando,Atlanta Hawks
133,dorian finney-smith,Brooklyn Nets
134,malachi flynn,Toronto Raptors
135,simone fontecchio,Utah Jazz
136,trent forrest,Atlanta Hawks
137,evan fournier,New York Knicks
138,de'aaron fox,Sacramento Kings
139,markelle fultz,Orlando Magic
140,wenyen gabriel,Los Angeles Lakers
141,daniel gafford,Washington Wizards
142,danilo gallinari,Boston Celtics
143,darius garland,Cleveland Cavaliers
144,usman garuba,Houston Rockets
145,luka garza,Minnesota Timberwolves
146,rudy gay,Utah Jazz
147,paul george,Los Angeles Clippers
148,taj gibson,Washington Wizards
149,josh giddey,Oklahoma City Thunder
150,shai gilgeous-alexander,Oklahoma City Thunder
151,anthony gill,Washington Wizards
152,collin gillespie,Denver Nuggets
153,rudy gobert,Minnesota Timberwolves
154,jordan goodwin,Washington Wizards
155,aaron gordon,Denver Nuggets
156,eric gordon,Los Angeles Clippers
157,devonte' graham,San Antonio Spurs
158,jerami grant,Portland Trail Blazers
159,a.j. green,Milwaukee Bucks
160,danny green,Cleveland Cavaliers
161,draymond green,Golden State Warriors
162,jamychal green,Golden State Warriors
163,jalen green,Houston Rockets
164,javonte green,Chicago Bulls
165,jeff green,Denver Nuggets
166,josh green,Dallas Mavericks
167,blake griffin,Boston Celtics
168,"a.j. griffin, jr.",Atlanta Hawks
169,quentin grimes,New York Knicks
170,rui hachimura,Los Angeles Lakers
171,tyrese haliburton,Indiana Pacers
172,r.j. hampton,Detroit Pistons
173,tim hardaway jr.,Dallas Mavericks
174,james harden,Philadelphia Sixers
175,jaden hardy,Dallas Mavericks
176,ron harper,Toronto Raptors
177,montrezl harrell,Philadelphia Sixers
178,gary harris,Orlando Magic
179,joe harris,Brooklyn Nets
180,kevon harris,Orlando Magic
181,tobias harris,Philadelphia Sixers
182,josh hart,New York Knicks
183,isaiah hartenstein,New York Knicks
184,udonis haslem,Miami Heat
185,sam hauser,Boston Celtics
186,jaxson hayes,New Orleans Pelicans
187,killian hayes,Detroit Pistons
188,gordon hayward,Charlotte Hornets
189,willy hernangomez,New Orleans Pelicans
190,tyler herro,Miami Heat
191,buddy hield,Indiana Pacers
192,haywood highsmith,Miami Heat
193,george hill,Indiana Pacers
194,aaron holiday,Atlanta Hawks
195,jrue holiday,Milwaukee Bucks
196,justin holiday,Dallas Mavericks
197,richaun holmes,Sacramento Kings
198,chet holmgren,Oklahoma City Thunder
199,al horford,Boston Celtics
200,talen horton-tucker,Utah Jazz
201,danuel house,Philadelphia Sixers
202,caleb houstan,Orlando Magic
203,trevor hudgins,Houston Rockets
204,kevin huerter,Sacramento Kings
205,james huff,Washington Wizards
206,de'andre hunter,Atlanta Hawks
207,bones hyland,Los Angeles Clippers
208,andre iguodala,Golden State Warriors
209,joe ingles,Milwaukee Bucks
210,brandon ingram,New Orleans Pelicans
211,kyrie irving,Dallas Mavericks
212,jonathan isaac,Orlando Magic
213,jaden ivey,Detroit Pistons
214,isaiah jackson,Indiana Pacers
215,"jaren jackson, jr.",Memphis Grizzlies
216,quenton jackson,Washington Wizards
217,reggie jackson,Denver Nuggets
218,lebron james,Los Angeles Lakers
219,daquan jeffries,New York Knicks
220,ty jerome,Golden State Warriors
221,isaiah joe,Oklahoma City Thunder
222,cameron johnson,Brooklyn Nets
223,jalen johnson,Atlanta Hawks
224,james johnson,Indiana Pacers
225,keldon johnson,San Antonio Spurs
226,keon johnson,Portland Trail Blazers
227,nikola jokic,Denver Nuggets
228,carlik jones,Chicago Bulls
229,damian jones,Utah Jazz
230,derrick jones,Chicago Bulls
231,herb jones,New Orleans Pelicans
232,kai jones,Charlotte Hornets
233,tre jones,San Antonio Spurs
234,tyus jones,Memphis Grizzlies
235,deandre jordan,Denver Nuggets
236,cory joseph,Detroit Pistons
237,nikola jovic,Miami Heat
238,johnny juzang,Utah Jazz
239,mfiondu kabengele,Boston Celtics
240,frank kaminsky,Houston Rockets
241,luke kennard,Memphis Grizzlies
242,walker kessler,Utah Jazz
243,louis king,Philadelphia Sixers
244,corey kispert,Washington Wizards
245,maxi kleber,Dallas Mavericks
246,nathan knight,Minnesota Timberwolves
247,kevin knox,Portland Trail Blazers
248,christian koloko,Toronto Raptors
249,john konchar,Memphis Grizzlies
250,furkan korkmaz,Philadelphia Sixers
251,luke kornet,Boston Celtics
252,vit krejci,Atlanta Hawks
253,jonathan kuminga,Golden State Warriors
254,kyle kuzma,Washington Wizards
255,jake laravia,Memphis Grizzlies
256,zach lavine,Chicago Bulls
257,anthony lamb,Golden State Warriors
258,jock landale,Phoenix Suns
259,romeo langford,San Antonio Spurs
260,a.j. lawson,Dallas Mavericks
261,caris levert,Cleveland Cavaliers
262,damion lee,Phoenix Suns
263,saben lee,Phoenix Suns
264,alex len,Sacramento Kings
265,kawhi leonard,Los Angeles Clippers
266,meyers leonard,Milwaukee Bucks
267,"kira lewis, jr.",New Orleans Pelicans
268,justin lewis,Chicago Bulls
269,e.j. liddell,New Orleans Pelicans
270,damian lillard,Portland Trail Blazers
271,nassir little,Portland Trail Blazers
272,isaiah livers,Detroit Pistons
273,"kenny lofton, jr.",Memphis Grizzlies
274,kevon looney,Golden State Warriors
275,brook lopez,Milwaukee Bucks
276,robin lopez,Cleveland Cavaliers
277,kevin love,Miami Heat
278,kyle lowry,Miami Heat
279,trey lyles,Sacramento Kings
280,theo maledon,Charlotte Hornets
281,sandro mamukelashvili,San Antonio Spurs
282,terance mann,Los Angeles Clippers
283,tre mann,Oklahoma City Thunder
284,boban marjanovic,Houston Rockets
285,lauri markkanen,Utah Jazz
286,naji marshall,New Orleans Pelicans
287,caleb martin,Miami Heat
288,cody martin,Charlotte Hornets
289,k.j. martin,Houston Rockets
290,tyrese martin,Atlanta Hawks
291,garrison mathews,Atlanta Hawks
292,bennedict mathurin,Indiana Pacers
293,wesley matthews,Milwaukee Bucks
294,tyrese maxey,Philadelphia Sixers
295,miles mcbride,New York Knicks
296,mac mcclung,Philadelphia Sixers
297,c.j. mccollum,New Orleans Pelicans
298,t.j. mcconnell,Indiana Pacers
299,jaden mcdaniels,Minnesota Timberwolves
300,jalen mcdaniels,Philadelphia Sixers
301,doug mcdermott,San Antonio Spurs
302,javale mcgee,Dallas Mavericks
303,bryce mcgowens,Charlotte Hornets
304,rodney mcgruder,Detroit Pistons
305,jordan mclaughlin,Minnesota Timberwolves
306,de'anthony melton,Philadelphia Sixers
307,sam merrill,Cleveland Cavaliers
308,chimezie metu,Sacramento Kings
309,khris middleton,Milwaukee Bucks
310,patty mills,Brooklyn Nets
311,shake milton,Philadelphia Sixers
312,josh minott,Minnesota Timberwolves
313,davion mitchell,Sacramento Kings
314,donovan mitchell,Cleveland Cavaliers
315,evan mobley,Cleveland Cavaliers
316,isaiah mobley,Cleveland Cavaliers
317,malik monk,Sacramento Kings
318,moses moody,Golden State Warriors
319,xavier moon,Los Angeles Clippers
320,"wendell moore, jr.",Minnesota Timberwolves
321,ja morant,Memphis Grizzlies
322,marcus morris,Los Angeles Clippers
323,markieff morris,Dallas Mavericks
324,monte morris,Washington Wizards
325,trey murphy iii,New Orleans Pelicans
326,dejounte murray,Atlanta Hawks
327,jamal murray,Denver Nuggets
328,keegan murray,Sacramento Kings
329,mike muscala,Boston Celtics
330,svi mykhailiuk,Charlotte Hornets
331,"larry nance, jr.",New Orleans Pelicans
332,andrew nembhard,Indiana Pacers
333,aaron nesmith,Indiana Pacers
334,raulzinho neto,Cleveland Cavaliers
335,georges niang,Philadelphia Sixers
336,daishen nix,Houston Rockets
337,zeke nnaji,Denver Nuggets
338,nerlens noel,Brooklyn Nets
339,jaylen nowell,Minnesota Timberwolves
340,frank ntilikina,Dallas Mavericks
341,kendrick nunn,Washington Wizards
342,jusuf nurkic,Portland Trail Blazers
343,jordan nwora,Indiana Pacers
344,royce o'neale,Brooklyn Nets
345,chuma okeke,Orlando Magic
346,josh okogie,Phoenix Suns
347,onyeka okongwu,Atlanta Hawks
348,isaac okoro,Cleveland Cavaliers
349,victor oladipo,Miami Heat
350,kelly olynyk,Utah Jazz
351,eugene omoruyi,Detroit Pistons
352,cedi osman,Cleveland Cavaliers
353,"kelly oubre, jr.",Charlotte Hornets
354,chris paul,Phoenix Suns
355,cameron payne,Phoenix Suns
356,gary payton ii,Golden State Warriors
357,theo pinson,Dallas Mavericks
358,"scotty pippen, jr.",Los Angeles Lakers
359,mason plumlee,Los Angeles Clippers
360,jakob poeltl,Toronto Raptors
361,aleksej pokusevski,Oklahoma City Thunder
362,jordan poole,Golden State Warriors
363,"kevin porter, jr.",Houston Rockets
364,"michael porter, jr.",Denver Nuggets
365,otto porter,Toronto Raptors
366,bobby portis,Milwaukee Bucks
367,kristaps porzingis,Washington Wizards
368,micah potter,Utah Jazz
369,dwight powell,Dallas Mavericks
370,norman powell,Los Angeles Clippers
371,jason preston,Los Angeles Clippers
372,taurean prince,Minnesota Timberwolves
373,payton pritchard,Boston Celtics
374,trevelin queen,Indiana Pacers
375,neemias queta,Sacramento Kings
376,immanuel quickley,New York Knicks
377,lester quinones,Golden State Warriors
378,julius randle,New York Knicks
379,austin reaves,Los Angeles Lakers
380,cam reddish,Portland Trail Blazers
381,davon reed,Los Angeles Lakers
382,"paul reed, jr.",Philadelphia Sixers
383,naz reid,Minnesota Timberwolves
384,jared rhoden,Detroit Pistons
385,nick richards,Charlotte Hornets
386,josh richardson,New Orleans Pelicans
387,austin rivers,Minnesota Timberwolves
388,duncan robinson,Miami Heat
389,mitchell robinson,New York Knicks
390,orlando robinson,Miami Heat
391,jeremiah robinson-earl,Oklahoma City Thunder
392,david roddy,Memphis Grizzlies
393,ryan rollins,Golden State Warriors
394,derrick rose,New York Knicks
395,terrence ross,Phoenix Suns
396,terry rozier,Charlotte Hornets
397,ricky rubio,Cleveland Cavaliers
398,d'angelo russell,Los Angeles Lakers
399,matt ryan,Minnesota Timberwolves
400,domantas sabonis,Sacramento Kings
401,dario saric,Oklahoma City Thunder
402,olivier sarr,Oklahoma City Thunder
403,admiral schofield,Orlando Magic
404,dennis schroder,Los Angeles Lakers
405,dereon seabron,New Orleans Pelicans
406,alperen sengun,Houston Rockets
407,collin sexton,Utah Jazz
408,landry shamet,Phoenix Suns
409,day'ron sharpe,Brooklyn Nets
410,shaedon sharpe,Portland Trail Blazers
411,pascal siakam,Toronto Raptors
412,ben simmons,Brooklyn Nets
413,marko simonovic,Chicago Bulls
414,anfernee simons,Portland Trail Blazers
415,jericho sims,New York Knicks
416,marcus smart,Boston Celtics
417,dennis smith,Charlotte Hornets
418,dru smith,Brooklyn Nets
419,ish smith,Denver Nuggets
420,jalen smith,Indiana Pacers
421,"jabari smith, jr.",Houston Rockets
422,jeremy sochan,San Antonio Spurs
423,jaden springer,Philadelphia Sixers
424,lamar stevens,Cleveland Cavaliers
425,isaiah stewart ii,Detroit Pistons
426,max strus,Miami Heat
427,jalen suggs,Orlando Magic
428,edmond sumner,Brooklyn Nets
429,cole swider,Los Angeles Lakers
430,jae'sean tate,Houston Rockets
431,jayson tatum,Boston Celtics
432,terry taylor,Chicago Bulls
433,garrett temple,New Orleans Pelicans
434,dalen terry,Chicago Bulls
435,daniel theis,Indiana Pacers
436,cam thomas,Brooklyn Nets
437,klay thompson,Golden State Warriors
438,j.t. thor,Charlotte Hornets
439,matisse thybulle,Portland Trail Blazers
440,"xavier tillman, sr.",Memphis Grizzlies
441,isaiah todd,Washington Wizards
442,obi toppin,New York Knicks
443,juan toscano-anderson,Utah Jazz
444,karl-anthony towns,Minnesota Timberwolves
445,"gary trent, jr.",Toronto Raptors
446,p.j. tucker,Philadelphia Sixers
447,myles turner,Indiana Pacers
448,jonas valanciunas,New Orleans Pelicans
449,fred vanvleet,Toronto Raptors
450,jarred vanderbilt,Los Angeles Lakers
451,devin vassell,San Antonio Spurs
452,gabe vincent,Miami Heat
453,nikola vucevic,Chicago Bulls
454,dean wade,Cleveland Cavaliers
455,franz wagner,Orlando Magic
456,moe wagner,Orlando Magic
457,ish wainright,Phoenix Suns
458,jabari walker,Portland Trail Blazers
459,lonnie walker,Los Angeles Lakers
460,t.j. warren,Phoenix Suns
461,"duane washington, jr.",New York Knicks
462,"tyty washington, jr.",Houston Rockets
463,p.j. washington,Charlotte Hornets
464,yuta watanabe,Brooklyn Nets
465,lindy waters iii,Oklahoma City Thunder
466,trendon watford,Portland Trail Blazers
467,peyton watson,Denver Nuggets
468,blake wesley,San Antonio Spurs
469,russell westbrook,Los Angeles Clippers
470,coby white,Chicago Bulls
471,derrick white,Boston Celtics
472,jack white,Denver Nuggets
473,joe wieskamp,Toronto Raptors
474,aaron wiggins,Oklahoma City Thunder
475,andrew wiggins,Golden State Warriors
476,lindell wigginton,Milwaukee Bucks
477,donovan williams,Atlanta Hawks
478,grant williams,Boston Celtics
479,jalen williams,Oklahoma City Thunder
480,jaylin williams,Oklahoma City Thunder
481,"vincent williams, jr.",Memphis Grizzlies
482,kenrich williams,Oklahoma City Thunder
483,mark williams,Charlotte Hornets
484,patrick williams,Chicago Bulls
485,robert williams,Boston Celtics
486,ziaire williams,Memphis Grizzlies
487,zion williamson,New Orleans Pelicans
488,dylan windler,Cleveland Cavaliers
489,justise winslow,Portland Trail Blazers
490,james wiseman,Detroit Pistons
491,christian wood,Dallas Mavericks
492,mckinley wright iv,Dallas Mavericks
493,delon wright,Washington Wizards
494,thaddeus young,Toronto Raptors
495,trae young,Atlanta Hawks
496,omer yurtseven,Miami Heat
497,cody zeller,Miami Heat
498,ivica zubac,Los Angeles Clippers
